Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msA.hmt:2.535 (25): 10.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msAil.hmt:2.544 (3): 2.0 (66.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msAil.hmt:2.545 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.535 (25) vs msAil.hmt:2.544 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.535 (25) vs msAil.hmt:2.545 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.535 (25) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msAil.hmt:2.544 (3) vs msAil.hmt:2.545 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msAil.hmt:2.544 (3) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msAil.hmt:2.545 (2) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msA.hmt:2.66 (22): 4.0 (18.18%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.66 (22) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.66 (22) vs msAil.hmt:2.97 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.66 (22) vs msAint.hmt:2.74 (9): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msAil.hmt:2.97 (5): 2.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msAint.hmt:2.74 (9): 1.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msAil.hmt:2.97 (5) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msAint.hmt:2.74 (9) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msAint.hmt:2.74 (9) vs msAil.hmt:2.97 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msA.hmt:2.741 (49): 9.0 (18.37%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.741 (49) vs msA.hmt:2.743 (28): 5.0 (17.86%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.741 (49) vs msAil.hmt:2.750 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.741 (49) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msA.hmt:2.743 (28): 7.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msAil.hmt:2.750 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.743 (28) vs msAil.hmt:2.750 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.743 (28) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msAil.hmt:2.750 (2) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAil.hmt:2.148 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAil.hmt:2.149 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAim.hmt:2.134 (11): 4.0 (36.36%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAint.hmt:2.139 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msAil.hmt:2.149 (3) vs msAil.hmt:2.148 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msAim.hmt:2.134 (11) vs msAil.hmt:2.148 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msAint.hmt:2.139 (2) vs msAil.hmt:2.148 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msAim.hmt:2.134 (11) vs msAil.hmt:2.149 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msAil.hmt:2.149 (3) vs msAint.hmt:2.139 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msAim.hmt:2.134 (11) vs msAint.hmt:2.139 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.70 (54) vs msA.hmt:4.71 (33): 3.0 (9.09%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.70 (54) vs msA.hmt:4.72 (43): 10.0 (23.26%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.70 (54) vs msA.hmt:4.792 (19): 4.0 (21.05%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.70 (54) vs msAint.hmt:4.68 (7): 1.0 (14.29%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.72 (43) vs msA.hmt:4.71 (33): 8.0 (24.24%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.71 (33) vs msA.hmt:4.792 (19): 3.0 (15.79%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.71 (33) vs msAint.hmt:4.68 (7): 1.0 (14.29%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.72 (43) vs msA.hmt:4.792 (19): 3.0 (15.79%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.72 (43) vs msAint.hmt:4.68 (7): 1.0 (14.29%)
urn:cts:greekLit:tlg0012.tlg001.msA:4.43	msA.hmt:4.792 (19) vs msAint.hmt:4.68 (7): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1025 (29) vs msA.hmt:7.1024 (26): 5.0 (19.23%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1024 (26) vs msAil.hmt:7.1032 (7): 2.0 (28.57%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1024 (26) vs msAim.hmt:7.1027 (11): 3.0 (27.27%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1024 (26) vs msAint.hmt:7.1030 (9): 2.0 (22.22%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1025 (29) vs msAil.hmt:7.1032 (7): 2.0 (28.57%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1025 (29) vs msAim.hmt:7.1027 (11): 2.0 (18.18%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msA.hmt:7.1025 (29) vs msAint.hmt:7.1030 (9): 1.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msAim.hmt:7.1027 (11) vs msAil.hmt:7.1032 (7): 2.0 (28.57%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msAint.hmt:7.1030 (9) vs msAil.hmt:7.1032 (7): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.171	msAim.hmt:7.1027 (11) vs msAint.hmt:7.1030 (9): 1.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3029 (20) vs msA.hmt:7.3030 (6): 2.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3029 (20) vs msAext.hmt:7.3032 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3029 (20) vs msAil.hmt:7.3021 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3029 (20) vs msAint.hmt:7.3017 (5): 2.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3030 (6) vs msAext.hmt:7.3032 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3030 (6) vs msAil.hmt:7.3021 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msA.hmt:7.3030 (6) vs msAint.hmt:7.3017 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msAil.hmt:7.3021 (2) vs msAext.hmt:7.3032 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msAint.hmt:7.3017 (5) vs msAext.hmt:7.3032 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:7.428	msAint.hmt:7.3017 (5) vs msAil.hmt:7.3021 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msA.hmt:9.520 (68) vs msAil.hmt:9.535 (6): 2.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msA.hmt:9.520 (68) vs msAil.hmt:9.629 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msA.hmt:9.520 (68) vs msAil.hmt:9.630 (4): 1.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msA.hmt:9.520 (68) vs msAim.hmt:9.529 (7): 2.0 (28.57%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msAil.hmt:9.535 (6) vs msAil.hmt:9.629 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msAil.hmt:9.535 (6) vs msAil.hmt:9.630 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msAim.hmt:9.529 (7) vs msAil.hmt:9.535 (6): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msAil.hmt:9.630 (4) vs msAil.hmt:9.629 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msAim.hmt:9.529 (7) vs msAil.hmt:9.629 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.540	msAim.hmt:9.529 (7) vs msAil.hmt:9.630 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.545 (27) vs msA.hmt:9.546 (27): 7.0 (25.93%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.693 (92) vs msA.hmt:9.545 (27): 6.0 (22.22%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.545 (27) vs msAil.hmt:9.570 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.545 (27) vs msAim.hmt:9.560 (8): 2.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.693 (92) vs msA.hmt:9.546 (27): 5.0 (18.52%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.546 (27) vs msAil.hmt:9.570 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.546 (27) vs msAim.hmt:9.560 (8): 2.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.693 (92) vs msAil.hmt:9.570 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msA.hmt:9.693 (92) vs msAim.hmt:9.560 (8): 2.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.571	msAim.hmt:9.560 (8) vs msAil.hmt:9.570 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msA.hmt:9.81 (31) vs msAil.hmt:9.79 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msA.hmt:9.81 (31) vs msAil.hmt:9.98 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msA.hmt:9.81 (31) vs msAil.hmt:9.99 (1): 1.0 (100.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msA.hmt:9.81 (31) vs msAint.hmt:9.93 (7): 1.0 (14.29%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msAil.hmt:9.79 (1) vs msAil.hmt:9.98 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msAil.hmt:9.79 (1) vs msAil.hmt:9.99 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msAint.hmt:9.93 (7) vs msAil.hmt:9.79 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msAil.hmt:9.98 (1) vs msAil.hmt:9.99 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msAint.hmt:9.93 (7) vs msAil.hmt:9.98 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.63	msAint.hmt:9.93 (7) vs msAil.hmt:9.99 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msA.hmt:9.8 (143) vs msAil.hmt:9.22 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msA.hmt:9.8 (143) vs msAil.hmt:9.23 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msA.hmt:9.8 (143) vs msAil.hmt:9.24 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msA.hmt:9.8 (143) vs msAint.hmt:9.12 (5): 2.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msAil.hmt:9.22 (3) vs msAil.hmt:9.23 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msAil.hmt:9.22 (3) vs msAil.hmt:9.24 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msAint.hmt:9.12 (5) vs msAil.hmt:9.22 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msAil.hmt:9.23 (1) vs msAil.hmt:9.24 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msAint.hmt:9.12 (5) vs msAil.hmt:9.23 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.7	msAint.hmt:9.12 (5) vs msAil.hmt:9.24 (1): 0.0 (0.0%)
