Iliad Line,Label,First Scholion,Second Scholion,Third Scholion,Fourth Scholion,Fifth Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.120,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.132,urn:cts:greekLit:tlg5026.msA.hmt:1.133,urn:cts:greekLit:tlg5026.msAil.hmt:1.370,urn:cts:greekLit:tlg5026.msAil.hmt:1.371,urn:cts:greekLit:tlg5026.msAil.hmt:1.372
urn:cts:greekLit:tlg0012.tlg001.msA:1.216,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.600,urn:cts:greekLit:tlg5026.msA.hmt:1.602,urn:cts:greekLit:tlg5026.msAil.hmt:1.631,urn:cts:greekLit:tlg5026.msAil.hmt:1.632,urn:cts:greekLit:tlg5026.msAil.hmt:1.633
urn:cts:greekLit:tlg0012.tlg001.msA:1.434,MainImIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1122,urn:cts:greekLit:tlg5026.msAil.hmt:1.1141,urn:cts:greekLit:tlg5026.msAil.hmt:1.1142,urn:cts:greekLit:tlg5026.msAil.hmt:1.1143,urn:cts:greekLit:tlg5026.msAim.hmt:1.1133
urn:cts:greekLit:tlg0012.tlg001.msA:1.50,MainImIntIl,urn:cts:greekLit:tlg5026.msA.hmt:1.43,urn:cts:greekLit:tlg5026.msAil.hmt:1.296,urn:cts:greekLit:tlg5026.msAim.hmt:1.54,urn:cts:greekLit:tlg5026.msAint.hmt:1.60,urn:cts:greekLit:tlg5026.null.hmt:1.44
urn:cts:greekLit:tlg0012.tlg001.msA:1.542,MainImIntIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1343,urn:cts:greekLit:tlg5026.msAil.hmt:1.1362,urn:cts:greekLit:tlg5026.msAil.hmt:1.1363,urn:cts:greekLit:tlg5026.msAim.hmt:1.1348,urn:cts:greekLit:tlg5026.msAint.hmt:1.1349
urn:cts:greekLit:tlg0012.tlg001.msA:1.591,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1443,urn:cts:greekLit:tlg5026.msA.hmt:1.1444,urn:cts:greekLit:tlg5026.msA.hmt:1.1445,urn:cts:greekLit:tlg5026.msAil.hmt:1.1466,urn:cts:greekLit:tlg5026.msAil.hmt:1.1467
urn:cts:greekLit:tlg0012.tlg001.msA:17.105,MainExt,urn:cts:greekLit:tlg5026.msA.hmt:17.44,urn:cts:greekLit:tlg5026.msA.hmt:17.45,urn:cts:greekLit:tlg5026.msA.hmt:17.46,urn:cts:greekLit:tlg5026.msAext.hmt:17.3,urn:cts:greekLit:tlg5026.msAext.hmt:17.4
urn:cts:greekLit:tlg0012.tlg001.msA:18.506,MainImInt,urn:cts:greekLit:tlg5026.msA.hmt:18.178,urn:cts:greekLit:tlg5026.msA.hmt:18.179,urn:cts:greekLit:tlg5026.msA.hmt:18.180,urn:cts:greekLit:tlg5026.msAim.hmt:18.57,urn:cts:greekLit:tlg5026.msAint.hmt:18.42
urn:cts:greekLit:tlg0012.tlg001.msA:2.116,MainIntIl,urn:cts:greekLit:tlg5026.msA.hmt:2.174,urn:cts:greekLit:tlg5026.msAil.hmt:2.204,urn:cts:greekLit:tlg5026.msAil.hmt:2.205,urn:cts:greekLit:tlg5026.msAil.hmt:2.206,urn:cts:greekLit:tlg5026.msAint.hmt:2.193
urn:cts:greekLit:tlg0012.tlg001.msA:2.154,MainImIl,urn:cts:greekLit:tlg5026.msA.hmt:2.233,urn:cts:greekLit:tlg5026.msAil.hmt:2.264,urn:cts:greekLit:tlg5026.msAil.hmt:2.265,urn:cts:greekLit:tlg5026.msAil.hmt:2.266,urn:cts:greekLit:tlg5026.msAim.hmt:2.241
urn:cts:greekLit:tlg0012.tlg001.msA:2.217,MainImIntIl,urn:cts:greekLit:tlg5026.msA.hmt:2.374,urn:cts:greekLit:tlg5026.msAil.hmt:2.400,urn:cts:greekLit:tlg5026.msAil.hmt:2.401,urn:cts:greekLit:tlg5026.msAim.hmt:2.390,urn:cts:greekLit:tlg5026.msAint.hmt:2.394
urn:cts:greekLit:tlg0012.tlg001.msA:2.435,MainImIl,urn:cts:greekLit:tlg5026.msA.hmt:2.534,urn:cts:greekLit:tlg5026.msA.hmt:2.535,urn:cts:greekLit:tlg5026.msAil.hmt:2.544,urn:cts:greekLit:tlg5026.msAil.hmt:2.545,urn:cts:greekLit:tlg5026.msAim.hmt:2.540
urn:cts:greekLit:tlg0012.tlg001.msA:2.56,MainIntIl,urn:cts:greekLit:tlg5026.msA.hmt:2.66,urn:cts:greekLit:tlg5026.msA.hmt:2.67,urn:cts:greekLit:tlg5026.msAil.hmt:2.96,urn:cts:greekLit:tlg5026.msAil.hmt:2.97,urn:cts:greekLit:tlg5026.msAint.hmt:2.74
urn:cts:greekLit:tlg0012.tlg001.msA:2.765,MainImIl,urn:cts:greekLit:tlg5026.msA.hmt:2.741,urn:cts:greekLit:tlg5026.msA.hmt:2.742,urn:cts:greekLit:tlg5026.msA.hmt:2.743,urn:cts:greekLit:tlg5026.msAil.hmt:2.750,urn:cts:greekLit:tlg5026.msAim.hmt:2.748
urn:cts:greekLit:tlg0012.tlg001.msA:2.87,MainImIntIl,urn:cts:greekLit:tlg5026.msA.hmt:2.123,urn:cts:greekLit:tlg5026.msAil.hmt:2.148,urn:cts:greekLit:tlg5026.msAil.hmt:2.149,urn:cts:greekLit:tlg5026.msAim.hmt:2.134,urn:cts:greekLit:tlg5026.msAint.hmt:2.139
urn:cts:greekLit:tlg0012.tlg001.msA:4.43,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:4.70,urn:cts:greekLit:tlg5026.msA.hmt:4.71,urn:cts:greekLit:tlg5026.msA.hmt:4.72,urn:cts:greekLit:tlg5026.msA.hmt:4.792,urn:cts:greekLit:tlg5026.msAint.hmt:4.68
urn:cts:greekLit:tlg0012.tlg001.msA:7.171,MainImIntIl,urn:cts:greekLit:tlg5026.msA.hmt:7.1024,urn:cts:greekLit:tlg5026.msA.hmt:7.1025,urn:cts:greekLit:tlg5026.msAil.hmt:7.1032,urn:cts:greekLit:tlg5026.msAim.hmt:7.1027,urn:cts:greekLit:tlg5026.msAint.hmt:7.1030
urn:cts:greekLit:tlg0012.tlg001.msA:7.428,MainIntIlExt,urn:cts:greekLit:tlg5026.msA.hmt:7.3029,urn:cts:greekLit:tlg5026.msA.hmt:7.3030,urn:cts:greekLit:tlg5026.msAext.hmt:7.3032,urn:cts:greekLit:tlg5026.msAil.hmt:7.3021,urn:cts:greekLit:tlg5026.msAint.hmt:7.3017
urn:cts:greekLit:tlg0012.tlg001.msA:9.540,MainImIl,urn:cts:greekLit:tlg5026.msA.hmt:9.520,urn:cts:greekLit:tlg5026.msAil.hmt:9.535,urn:cts:greekLit:tlg5026.msAil.hmt:9.629,urn:cts:greekLit:tlg5026.msAil.hmt:9.630,urn:cts:greekLit:tlg5026.msAim.hmt:9.529
urn:cts:greekLit:tlg0012.tlg001.msA:9.571,MainImIl,urn:cts:greekLit:tlg5026.msA.hmt:9.545,urn:cts:greekLit:tlg5026.msA.hmt:9.546,urn:cts:greekLit:tlg5026.msA.hmt:9.693,urn:cts:greekLit:tlg5026.msAil.hmt:9.570,urn:cts:greekLit:tlg5026.msAim.hmt:9.560
urn:cts:greekLit:tlg0012.tlg001.msA:9.63,MainIntIl,urn:cts:greekLit:tlg5026.msA.hmt:9.81,urn:cts:greekLit:tlg5026.msAil.hmt:9.79,urn:cts:greekLit:tlg5026.msAil.hmt:9.98,urn:cts:greekLit:tlg5026.msAil.hmt:9.99,urn:cts:greekLit:tlg5026.msAint.hmt:9.93
urn:cts:greekLit:tlg0012.tlg001.msA:9.7,MainIntIl,urn:cts:greekLit:tlg5026.msA.hmt:9.8,urn:cts:greekLit:tlg5026.msAil.hmt:9.22,urn:cts:greekLit:tlg5026.msAil.hmt:9.23,urn:cts:greekLit:tlg5026.msAil.hmt:9.24,urn:cts:greekLit:tlg5026.msAint.hmt:9.12
